date,ticker,trend_label,dist_MA60_pct,score_total,VAT3_norm,discount_pct,discount_risk_ratio,signal_type
2025-11-28,AMAT,Alcista,0.174585187213715,57.9867817716554,1.455614435434664,0.0,,sobre_extension_alcista
2025-11-28,ANF,Alcista,0.2458205590413909,80.0,2.608070063630297,0.0,,sobre_extension_alcista
2025-11-28,AVGO,Alcista,0.1470935007187364,65.51433584863885,1.6089701845694964,0.0,,sobre_extension_alcista
2025-11-28,B,Alcista,0.2302473002114397,69.69720002723453,2.591396061040804,0.0,,sobre_extension_alcista
2025-11-28,CLS,Alcista,0.2206461941308007,80.0,2.4398562726819195,0.0,,sobre_extension_alcista
2025-11-28,EDN,Alcista,0.4950416167294222,80.0,3.075533055906159,0.0,,sobre_extension_alcista
2025-11-28,FSLR,Alcista,0.1560741494224212,58.13125686490558,1.1234347533937026,0.0,,sobre_extension_alcista
2025-11-28,GGAL,Alcista,0.3387368152018829,80.0,2.892051094021677,0.0,,sobre_extension_alcista
2025-11-28,GPRK,Alcista,0.1712358028529194,59.58831886241018,1.153118875470811,0.0,,sobre_extension_alcista
2025-11-28,HL,Alcista,0.3140111447912901,80.0,2.672670285952252,0.0,,sobre_extension_alcista
2025-11-28,HMY,Alcista,0.1335767765284359,74.53080453315934,1.7926589758454403,0.0,,sobre_extension_alcista
2025-11-28,INTC,Alcista,0.1714587278741657,65.88469329905601,1.342297369136686,0.0,,sobre_extension_alcista
2025-11-28,JMIA,Alcista,0.1467502996378608,67.227052161112,1.3340432937775013,0.0,,sobre_extension_alcista
2025-11-28,KEP,Alcista,0.2400548761104818,55.58544582804701,1.4066930103887163,0.0,,sobre_extension_alcista
2025-11-28,LAR,Alcista,0.3501153265565933,80.0,2.5397050279841804,0.0,,sobre_extension_alcista
2025-11-28,LOMA,Alcista,0.3688963214384539,80.0,2.069874466712914,0.0,,sobre_extension_alcista
2025-11-28,NG,Alcista,0.194397191583475,61.49633845216341,1.0125358692993245,0.0,,sobre_extension_alcista
2025-11-28,PAAS,Alcista,0.2175960409405549,73.31130599694038,2.042032590767361,0.0,,sobre_extension_alcista
2025-11-28,TWLO,Alcista,0.1403574532756062,62.54268606519811,1.1524019191993844,0.0,,sobre_extension_alcista
2025-11-28,VIST,Alcista,0.1947650078899507,70.42418366552536,1.9223093816786896,0.0,,sobre_extension_alcista
